Timestamp: 23-Oct-2014 20:52:36
MaxDeathAge: 100
MaxInitialSugar: 25
MaxMetabolism: 4
MaxVision: 6
MinDeathAge: 60
MinInitialSugar: 5
NumAgents: 2000
Replacement: true


"tick","Avg. Metabolism","Avg. Vision","AgentCount"
1.0,2.0,3.0,2000
2.0,2.0,3.0,2000
3.0,2.0,3.0,1960
4.0,2.0,3.0,1853
5.0,2.0,3.0,1758
6.0,2.0,3.0,1648
7.0,2.0,3.0,1508
8.0,2.0,3.0,1390
9.0,1.0,3.0,1245
10.0,1.0,3.0,1153
11.0,1.0,3.0,1082
12.0,1.0,3.0,1029
13.0,1.0,3.0,986
14.0,1.0,3.0,958
15.0,1.0,3.0,935
16.0,1.0,3.0,909
17.0,1.0,3.0,883
18.0,1.0,3.0,859
19.0,1.0,3.0,845
20.0,1.0,3.0,837
21.0,1.0,3.0,830
22.0,1.0,3.0,826
23.0,1.0,3.0,819
24.0,1.0,3.0,817
25.0,1.0,3.0,816
26.0,1.0,3.0,813
27.0,1.0,3.0,811
28.0,1.0,3.0,810
29.0,1.0,3.0,808
30.0,1.0,3.0,805
31.0,1.0,3.0,801
32.0,1.0,3.0,800
33.0,1.0,3.0,799
34.0,1.0,3.0,798
35.0,1.0,3.0,797
36.0,1.0,3.0,797
37.0,1.0,3.0,794
38.0,1.0,3.0,794
39.0,1.0,3.0,794
40.0,1.0,3.0,790
41.0,1.0,3.0,790
42.0,1.0,3.0,789
43.0,1.0,3.0,788
44.0,1.0,3.0,786
45.0,1.0,3.0,786
46.0,1.0,3.0,786
47.0,1.0,3.0,784
48.0,1.0,3.0,783
49.0,1.0,3.0,780
50.0,1.0,3.0,780
51.0,1.0,3.0,780
52.0,1.0,3.0,779
53.0,1.0,3.0,778
54.0,1.0,3.0,777
55.0,1.0,3.0,777
56.0,1.0,3.0,776
57.0,1.0,3.0,776
58.0,1.0,3.0,774
59.0,1.0,3.0,774
60.0,1.0,3.0,774
61.0,1.0,3.0,773
62.0,1.0,3.0,772
63.0,1.0,3.0,771
64.0,1.0,3.0,771
65.0,1.0,3.0,770
66.0,1.0,3.0,770
67.0,1.0,3.0,770
68.0,1.0,3.0,770
69.0,1.0,3.0,769
70.0,1.0,3.0,768
71.0,1.0,3.0,768
72.0,1.0,3.0,768
73.0,1.0,3.0,768
74.0,1.0,3.0,768
75.0,1.0,3.0,768
76.0,1.0,3.0,768
77.0,1.0,3.0,768
78.0,1.0,3.0,767
79.0,1.0,3.0,767
80.0,1.0,3.0,766
81.0,1.0,3.0,766
82.0,1.0,3.0,765
83.0,1.0,3.0,763
84.0,1.0,3.0,762
85.0,1.0,3.0,761
86.0,1.0,3.0,761
87.0,1.0,3.0,761
88.0,1.0,3.0,761
89.0,1.0,3.0,761
90.0,1.0,3.0,760
91.0,1.0,3.0,760
92.0,1.0,3.0,760
93.0,1.0,3.0,760
94.0,1.0,3.0,760
95.0,1.0,3.0,759
96.0,1.0,3.0,759
97.0,1.0,3.0,759
98.0,1.0,3.0,759
99.0,1.0,3.0,759
100.0,1.0,3.0,759
101.0,1.0,3.0,759
102.0,1.0,3.0,758
103.0,1.0,3.0,758
104.0,1.0,3.0,758
105.0,1.0,3.0,758
106.0,1.0,3.0,758
107.0,1.0,3.0,758
108.0,1.0,3.0,758
109.0,1.0,3.0,758
110.0,1.0,3.0,758
111.0,1.0,3.0,758
112.0,1.0,3.0,758
113.0,1.0,3.0,758
114.0,1.0,3.0,758
115.0,1.0,3.0,758
116.0,1.0,3.0,758
117.0,1.0,3.0,758
118.0,1.0,3.0,758
119.0,1.0,3.0,758
120.0,1.0,3.0,758
121.0,1.0,3.0,756
122.0,1.0,3.0,756
123.0,1.0,3.0,756
124.0,1.0,3.0,756
125.0,1.0,3.0,755
126.0,1.0,3.0,755
127.0,1.0,3.0,755
128.0,1.0,3.0,754
129.0,1.0,3.0,754
130.0,1.0,3.0,754
131.0,1.0,3.0,754
132.0,1.0,3.0,754
133.0,1.0,3.0,754
134.0,1.0,3.0,754
135.0,1.0,3.0,753
136.0,1.0,3.0,753
137.0,1.0,3.0,753
138.0,1.0,3.0,753
139.0,1.0,3.0,753
140.0,1.0,3.0,753
141.0,1.0,3.0,751
142.0,1.0,3.0,751
143.0,1.0,3.0,751
144.0,1.0,3.0,751
145.0,1.0,3.0,751
146.0,1.0,3.0,751
147.0,1.0,3.0,751
148.0,1.0,3.0,751
149.0,1.0,3.0,751
150.0,1.0,3.0,751
151.0,1.0,3.0,751
152.0,1.0,3.0,751
153.0,1.0,3.0,751
154.0,1.0,3.0,751
155.0,1.0,3.0,751
156.0,1.0,3.0,751
157.0,1.0,3.0,751
158.0,1.0,3.0,751
159.0,1.0,3.0,750
160.0,1.0,3.0,750
161.0,1.0,3.0,750
162.0,1.0,3.0,750
163.0,1.0,3.0,750
164.0,1.0,3.0,750
165.0,1.0,3.0,749
166.0,1.0,3.0,749
167.0,1.0,3.0,749
168.0,1.0,3.0,749
169.0,1.0,3.0,748
170.0,1.0,3.0,748
171.0,1.0,3.0,747
172.0,1.0,3.0,747
173.0,1.0,3.0,747
174.0,1.0,3.0,747
175.0,1.0,3.0,747
176.0,1.0,3.0,747
177.0,1.0,3.0,747
178.0,1.0,3.0,747
179.0,1.0,3.0,747
180.0,1.0,3.0,747
181.0,1.0,3.0,747
182.0,1.0,3.0,746
183.0,1.0,3.0,746
184.0,1.0,3.0,746
185.0,1.0,3.0,746
186.0,1.0,3.0,746
187.0,1.0,3.0,746
188.0,1.0,3.0,746
189.0,1.0,3.0,746
190.0,1.0,3.0,746
191.0,1.0,3.0,746
192.0,1.0,3.0,746
193.0,1.0,3.0,746
194.0,1.0,3.0,746
195.0,1.0,3.0,744
196.0,1.0,3.0,743
197.0,1.0,3.0,743
198.0,1.0,3.0,743
199.0,1.0,3.0,743
200.0,1.0,3.0,743
201.0,1.0,3.0,743
202.0,1.0,3.0,743
203.0,1.0,3.0,743
204.0,1.0,3.0,743
205.0,1.0,3.0,743
206.0,1.0,3.0,742
207.0,1.0,3.0,742
208.0,1.0,3.0,742
209.0,1.0,3.0,742
210.0,1.0,3.0,742
