Timestamp: 23-Oct-2014 20:55:58
MaxDeathAge: 100
MaxInitialSugar: 25
MaxMetabolism: 4
MaxVision: 6
MinDeathAge: 60
MinInitialSugar: 5
NumAgents: 2500
Replacement: true


"tick","Avg. Metabolism","Avg. Vision","AgentCount"
1.0,2.0,3.0,2500
2.0,2.0,3.0,2500
3.0,2.0,3.0,2447
4.0,2.0,3.0,2320
5.0,2.0,3.0,2165
6.0,2.0,3.0,1996
7.0,2.0,3.0,1809
8.0,1.0,3.0,1649
9.0,1.0,3.0,1501
10.0,1.0,3.0,1371
11.0,1.0,3.0,1285
12.0,1.0,3.0,1218
13.0,1.0,3.0,1160
14.0,1.0,3.0,1110
15.0,1.0,3.0,1060
16.0,1.0,3.0,1022
17.0,1.0,3.0,1003
18.0,1.0,3.0,982
19.0,1.0,3.0,970
20.0,1.0,3.0,957
21.0,1.0,3.0,947
22.0,1.0,3.0,938
23.0,1.0,3.0,931
24.0,1.0,3.0,922
25.0,1.0,3.0,915
26.0,1.0,3.0,903
27.0,1.0,3.0,897
28.0,1.0,3.0,889
29.0,1.0,3.0,887
30.0,1.0,3.0,886
31.0,1.0,3.0,882
32.0,1.0,3.0,880
33.0,1.0,3.0,873
34.0,1.0,3.0,869
35.0,1.0,3.0,864
36.0,1.0,3.0,860
37.0,1.0,3.0,855
38.0,1.0,3.0,853
39.0,1.0,3.0,851
40.0,1.0,3.0,846
41.0,1.0,3.0,842
42.0,1.0,3.0,838
43.0,1.0,3.0,835
44.0,1.0,3.0,833
45.0,1.0,3.0,830
46.0,1.0,3.0,825
47.0,1.0,3.0,817
48.0,1.0,3.0,817
49.0,1.0,3.0,814
50.0,1.0,3.0,813
51.0,1.0,3.0,811
52.0,1.0,3.0,810
53.0,1.0,3.0,808
54.0,1.0,3.0,807
55.0,1.0,3.0,807
56.0,1.0,3.0,805
57.0,1.0,3.0,803
58.0,1.0,3.0,801
59.0,1.0,3.0,799
60.0,1.0,3.0,798
61.0,1.0,3.0,798
62.0,1.0,3.0,797
63.0,1.0,3.0,795
64.0,1.0,3.0,794
65.0,1.0,3.0,791
66.0,1.0,3.0,791
67.0,1.0,3.0,789
68.0,1.0,3.0,789
69.0,1.0,3.0,789
70.0,1.0,3.0,789
71.0,1.0,3.0,789
72.0,1.0,3.0,786
73.0,1.0,3.0,785
74.0,1.0,3.0,785
75.0,1.0,3.0,784
76.0,1.0,3.0,783
77.0,1.0,3.0,782
78.0,1.0,3.0,782
79.0,1.0,3.0,782
80.0,1.0,3.0,782
81.0,1.0,3.0,782
82.0,1.0,3.0,782
83.0,1.0,3.0,782
84.0,1.0,3.0,781
85.0,1.0,3.0,781
86.0,1.0,3.0,780
87.0,1.0,3.0,780
88.0,1.0,3.0,780
89.0,1.0,3.0,779
90.0,1.0,3.0,778
91.0,1.0,3.0,778
92.0,1.0,3.0,778
93.0,1.0,3.0,777
94.0,1.0,3.0,777
95.0,1.0,3.0,777
96.0,1.0,3.0,777
97.0,1.0,3.0,777
98.0,1.0,3.0,777
99.0,1.0,3.0,777
100.0,1.0,3.0,777
101.0,1.0,3.0,777
102.0,1.0,3.0,777
103.0,1.0,3.0,777
104.0,1.0,3.0,777
105.0,1.0,3.0,776
106.0,1.0,3.0,776
107.0,1.0,3.0,774
108.0,1.0,3.0,774
109.0,1.0,3.0,774
110.0,1.0,3.0,774
111.0,1.0,3.0,774
112.0,1.0,3.0,773
113.0,1.0,3.0,773
114.0,1.0,3.0,773
115.0,1.0,3.0,773
116.0,1.0,3.0,773
117.0,1.0,3.0,772
118.0,1.0,3.0,772
119.0,1.0,3.0,771
120.0,1.0,3.0,769
121.0,1.0,3.0,768
122.0,1.0,3.0,767
123.0,1.0,3.0,767
124.0,1.0,3.0,767
125.0,1.0,3.0,767
126.0,1.0,3.0,767
127.0,1.0,3.0,766
128.0,1.0,3.0,766
129.0,1.0,3.0,766
130.0,1.0,3.0,766
131.0,1.0,3.0,766
132.0,1.0,3.0,766
133.0,1.0,3.0,765
134.0,1.0,3.0,765
135.0,1.0,3.0,765
136.0,1.0,3.0,763
137.0,1.0,3.0,763
138.0,1.0,3.0,763
139.0,1.0,3.0,763
140.0,1.0,3.0,763
141.0,1.0,3.0,763
142.0,1.0,3.0,761
143.0,1.0,3.0,760
144.0,1.0,3.0,760
145.0,1.0,3.0,760
146.0,1.0,3.0,760
147.0,1.0,3.0,760
148.0,1.0,3.0,759
149.0,1.0,3.0,758
150.0,1.0,3.0,758
151.0,1.0,3.0,758
152.0,1.0,3.0,758
153.0,1.0,3.0,758
154.0,1.0,3.0,757
155.0,1.0,3.0,757
156.0,1.0,3.0,757
157.0,1.0,3.0,757
158.0,1.0,3.0,756
159.0,1.0,3.0,756
160.0,1.0,3.0,756
161.0,1.0,3.0,756
162.0,1.0,3.0,756
163.0,1.0,3.0,756
164.0,1.0,3.0,756
165.0,1.0,3.0,756
166.0,1.0,3.0,756
167.0,1.0,3.0,755
168.0,1.0,3.0,755
169.0,1.0,3.0,755
170.0,1.0,3.0,754
171.0,1.0,3.0,754
172.0,1.0,3.0,754
173.0,1.0,3.0,754
174.0,1.0,3.0,754
175.0,1.0,3.0,754
176.0,1.0,3.0,754
177.0,1.0,3.0,754
178.0,1.0,3.0,753
179.0,1.0,3.0,753
180.0,1.0,3.0,753
181.0,1.0,3.0,753
182.0,1.0,3.0,753
183.0,1.0,3.0,753
184.0,1.0,3.0,753
185.0,1.0,3.0,753
186.0,1.0,3.0,753
187.0,1.0,3.0,753
188.0,1.0,3.0,753
189.0,1.0,3.0,753
190.0,1.0,3.0,753
191.0,1.0,3.0,752
192.0,1.0,3.0,751
193.0,1.0,3.0,750
194.0,1.0,3.0,748
195.0,1.0,3.0,748
196.0,1.0,3.0,748
197.0,1.0,3.0,748
