Timestamp: 24-Oct-2014 12:39:17
MaxDeathAge: 100
MaxInitialSugar: 25
MaxMetabolism: 1
MaxVision: 6
MinDeathAge: 60
MinInitialSugar: 5
NumAgents: 2250
Replacement: true


"tick","Avg. Metabolism","Avg. Vision","AgentCount"
1.0,1.0,3.0,2250
2.0,1.0,3.0,2250
3.0,1.0,3.0,2250
4.0,1.0,3.0,2250
5.0,1.0,3.0,2250
6.0,1.0,3.0,2243
7.0,1.0,3.0,2235
8.0,1.0,3.0,2227
9.0,1.0,3.0,2220
10.0,1.0,3.0,2205
11.0,1.0,3.0,2192
12.0,1.0,3.0,2177
13.0,1.0,3.0,2170
14.0,1.0,3.0,2160
15.0,1.0,3.0,2145
16.0,1.0,3.0,2130
17.0,1.0,3.0,2117
18.0,1.0,3.0,2108
19.0,1.0,3.0,2099
20.0,1.0,3.0,2092
21.0,1.0,3.0,2077
22.0,1.0,3.0,2067
23.0,1.0,3.0,2062
24.0,1.0,3.0,2047
25.0,1.0,3.0,2036
26.0,1.0,3.0,2023
27.0,1.0,3.0,2019
28.0,1.0,3.0,2012
29.0,1.0,3.0,2000
30.0,1.0,3.0,1994
31.0,1.0,3.0,1990
32.0,1.0,3.0,1986
33.0,1.0,3.0,1978
34.0,1.0,3.0,1969
35.0,1.0,3.0,1967
36.0,1.0,3.0,1957
37.0,1.0,3.0,1954
38.0,1.0,3.0,1946
39.0,1.0,3.0,1939
40.0,1.0,3.0,1936
41.0,1.0,3.0,1925
42.0,1.0,3.0,1918
43.0,1.0,3.0,1915
44.0,1.0,3.0,1914
45.0,1.0,3.0,1911
46.0,1.0,3.0,1908
47.0,1.0,3.0,1905
48.0,1.0,3.0,1902
49.0,1.0,3.0,1895
50.0,1.0,3.0,1892
51.0,1.0,3.0,1889
52.0,1.0,3.0,1885
53.0,1.0,3.0,1882
54.0,1.0,3.0,1879
55.0,1.0,3.0,1877
56.0,1.0,3.0,1877
57.0,1.0,3.0,1872
58.0,1.0,3.0,1867
59.0,1.0,3.0,1866
60.0,1.0,3.0,1860
61.0,1.0,3.0,1860
62.0,1.0,3.0,1853
63.0,1.0,3.0,1850
64.0,1.0,3.0,1848
65.0,1.0,3.0,1845
66.0,1.0,3.0,1843
67.0,1.0,3.0,1841
68.0,1.0,3.0,1841
69.0,1.0,3.0,1841
70.0,1.0,3.0,1841
71.0,1.0,3.0,1840
72.0,1.0,3.0,1839
73.0,1.0,3.0,1839
74.0,1.0,3.0,1839
75.0,1.0,3.0,1837
76.0,1.0,3.0,1836
77.0,1.0,3.0,1836
78.0,1.0,3.0,1836
79.0,1.0,3.0,1836
80.0,1.0,3.0,1836
81.0,1.0,3.0,1836
82.0,1.0,3.0,1836
83.0,1.0,3.0,1836
84.0,1.0,3.0,1834
85.0,1.0,3.0,1834
86.0,1.0,3.0,1834
87.0,1.0,3.0,1833
88.0,1.0,3.0,1832
89.0,1.0,3.0,1832
90.0,1.0,3.0,1831
91.0,1.0,3.0,1831
92.0,1.0,3.0,1830
93.0,1.0,3.0,1830
94.0,1.0,3.0,1830
95.0,1.0,3.0,1830
96.0,1.0,3.0,1829
97.0,1.0,3.0,1829
98.0,1.0,3.0,1829
99.0,1.0,3.0,1829
100.0,1.0,3.0,1829
101.0,1.0,3.0,1829
102.0,1.0,3.0,1828
103.0,1.0,3.0,1828
104.0,1.0,3.0,1828
105.0,1.0,3.0,1828
106.0,1.0,3.0,1828
107.0,1.0,3.0,1828
108.0,1.0,3.0,1827
109.0,1.0,3.0,1827
110.0,1.0,3.0,1827
111.0,1.0,3.0,1826
112.0,1.0,3.0,1825
113.0,1.0,3.0,1825
114.0,1.0,3.0,1825
115.0,1.0,3.0,1825
116.0,1.0,3.0,1825
117.0,1.0,3.0,1824
118.0,1.0,3.0,1824
119.0,1.0,3.0,1824
120.0,1.0,3.0,1822
121.0,1.0,3.0,1820
122.0,1.0,3.0,1820
123.0,1.0,3.0,1819
124.0,1.0,3.0,1818
125.0,1.0,3.0,1818
126.0,1.0,3.0,1817
127.0,1.0,3.0,1816
128.0,1.0,3.0,1816
129.0,1.0,3.0,1816
130.0,1.0,3.0,1815
131.0,1.0,3.0,1815
132.0,1.0,3.0,1815
133.0,1.0,3.0,1814
134.0,1.0,3.0,1814
135.0,1.0,3.0,1814
136.0,1.0,3.0,1814
137.0,1.0,3.0,1814
138.0,1.0,3.0,1814
139.0,1.0,3.0,1814
140.0,1.0,3.0,1813
141.0,1.0,3.0,1813
142.0,1.0,3.0,1813
143.0,1.0,3.0,1813
144.0,1.0,3.0,1813
145.0,1.0,3.0,1813
146.0,1.0,3.0,1813
147.0,1.0,3.0,1813
148.0,1.0,3.0,1813
149.0,1.0,3.0,1813
150.0,1.0,3.0,1813
151.0,1.0,3.0,1813
152.0,1.0,3.0,1813
153.0,1.0,3.0,1813
154.0,1.0,3.0,1813
155.0,1.0,3.0,1813
156.0,1.0,3.0,1813
157.0,1.0,3.0,1813
158.0,1.0,3.0,1813
159.0,1.0,3.0,1813
160.0,1.0,3.0,1813
161.0,1.0,3.0,1813
162.0,1.0,3.0,1813
163.0,1.0,3.0,1813
164.0,1.0,3.0,1813
165.0,1.0,3.0,1813
166.0,1.0,3.0,1813
167.0,1.0,3.0,1813
168.0,1.0,3.0,1813
169.0,1.0,3.0,1813
170.0,1.0,3.0,1812
171.0,1.0,3.0,1812
172.0,1.0,3.0,1812
173.0,1.0,3.0,1812
174.0,1.0,3.0,1811
175.0,1.0,3.0,1810
176.0,1.0,3.0,1810
177.0,1.0,3.0,1810
178.0,1.0,3.0,1810
179.0,1.0,3.0,1809
180.0,1.0,3.0,1809
181.0,1.0,3.0,1809
182.0,1.0,3.0,1809
183.0,1.0,3.0,1809
184.0,1.0,3.0,1809
185.0,1.0,3.0,1809
186.0,1.0,3.0,1809
187.0,1.0,3.0,1809
188.0,1.0,3.0,1809
189.0,1.0,3.0,1809
190.0,1.0,3.0,1809
191.0,1.0,3.0,1809
192.0,1.0,3.0,1809
193.0,1.0,3.0,1807
194.0,1.0,3.0,1807
195.0,1.0,3.0,1805
196.0,1.0,3.0,1805
197.0,1.0,3.0,1805
198.0,1.0,3.0,1805
199.0,1.0,3.0,1805
200.0,1.0,3.0,1805
201.0,1.0,3.0,1805
202.0,1.0,3.0,1805
203.0,1.0,3.0,1803
204.0,1.0,3.0,1803
205.0,1.0,3.0,1801
206.0,1.0,3.0,1801
207.0,1.0,3.0,1801
208.0,1.0,3.0,1801
209.0,1.0,3.0,1801
210.0,1.0,3.0,1800
211.0,1.0,3.0,1800
212.0,1.0,3.0,1800
213.0,1.0,3.0,1800
214.0,1.0,3.0,1799
215.0,1.0,3.0,1799
216.0,1.0,3.0,1799
217.0,1.0,3.0,1799
218.0,1.0,3.0,1799
219.0,1.0,3.0,1799
220.0,1.0,3.0,1799
221.0,1.0,3.0,1799
222.0,1.0,3.0,1799
223.0,1.0,3.0,1799
224.0,1.0,3.0,1799
225.0,1.0,3.0,1799
226.0,1.0,3.0,1798
227.0,1.0,3.0,1797
228.0,1.0,3.0,1797
229.0,1.0,3.0,1797
230.0,1.0,3.0,1797
231.0,1.0,3.0,1797
232.0,1.0,3.0,1797
233.0,1.0,3.0,1796
234.0,1.0,3.0,1796
235.0,1.0,3.0,1796
236.0,1.0,3.0,1794
237.0,1.0,3.0,1794
238.0,1.0,3.0,1793
239.0,1.0,3.0,1793
240.0,1.0,3.0,1793
241.0,1.0,3.0,1793
242.0,1.0,3.0,1793
243.0,1.0,3.0,1792
244.0,1.0,3.0,1792
245.0,1.0,3.0,1791
246.0,1.0,3.0,1791
247.0,1.0,3.0,1790
248.0,1.0,3.0,1789
249.0,1.0,3.0,1789
250.0,1.0,3.0,1789
251.0,1.0,3.0,1789
252.0,1.0,3.0,1789
253.0,1.0,3.0,1789
254.0,1.0,3.0,1788
255.0,1.0,3.0,1787
256.0,1.0,3.0,1787
257.0,1.0,3.0,1787
258.0,1.0,3.0,1787
259.0,1.0,3.0,1787
260.0,1.0,3.0,1787
261.0,1.0,3.0,1787
262.0,1.0,3.0,1787
263.0,1.0,3.0,1787
264.0,1.0,3.0,1787
265.0,1.0,3.0,1787
266.0,1.0,3.0,1787
267.0,1.0,3.0,1787
268.0,1.0,3.0,1787
269.0,1.0,3.0,1787
270.0,1.0,3.0,1787
271.0,1.0,3.0,1787
272.0,1.0,3.0,1787
273.0,1.0,3.0,1787
274.0,1.0,3.0,1787
275.0,1.0,3.0,1787
276.0,1.0,3.0,1787
277.0,1.0,3.0,1787
278.0,1.0,3.0,1787
279.0,1.0,3.0,1787
280.0,1.0,3.0,1787
281.0,1.0,3.0,1787
282.0,1.0,3.0,1787
283.0,1.0,3.0,1786
284.0,1.0,3.0,1786
285.0,1.0,3.0,1785
286.0,1.0,3.0,1785
287.0,1.0,3.0,1785
288.0,1.0,3.0,1784
289.0,1.0,3.0,1784
290.0,1.0,3.0,1784
291.0,1.0,3.0,1784
292.0,1.0,3.0,1784
293.0,1.0,3.0,1783
294.0,1.0,3.0,1783
295.0,1.0,3.0,1783
296.0,1.0,3.0,1783
297.0,1.0,3.0,1783
298.0,1.0,3.0,1783
299.0,1.0,3.0,1783
300.0,1.0,3.0,1783
301.0,1.0,3.0,1783
302.0,1.0,3.0,1783
