Timestamp: 23-Oct-2014 20:47:35
MaxDeathAge: 100
MaxInitialSugar: 25
MaxMetabolism: 4
MaxVision: 6
MinDeathAge: 60
MinInitialSugar: 5
NumAgents: 750
Replacement: true


"tick","Avg. Metabolism","Avg. Vision","AgentCount"
1.0,2.0,3.0,750
2.0,2.0,3.0,750
3.0,2.0,3.0,745
4.0,2.0,3.0,726
5.0,2.0,3.0,705
6.0,2.0,3.0,675
7.0,2.0,3.0,645
8.0,2.0,3.0,607
9.0,2.0,3.0,580
10.0,2.0,3.0,559
11.0,2.0,3.0,543
12.0,2.0,3.0,519
13.0,1.0,3.0,500
14.0,1.0,3.0,489
15.0,1.0,3.0,477
16.0,1.0,3.0,465
17.0,1.0,3.0,454
18.0,1.0,3.0,442
19.0,1.0,3.0,437
20.0,1.0,3.0,433
21.0,1.0,3.0,427
22.0,1.0,3.0,422
23.0,1.0,3.0,420
24.0,1.0,3.0,416
25.0,1.0,3.0,410
26.0,1.0,3.0,406
27.0,1.0,3.0,404
28.0,1.0,3.0,402
29.0,1.0,3.0,400
30.0,1.0,3.0,397
31.0,1.0,3.0,394
32.0,1.0,3.0,393
33.0,1.0,3.0,390
34.0,1.0,3.0,387
35.0,1.0,3.0,385
36.0,1.0,3.0,383
37.0,1.0,3.0,381
38.0,1.0,3.0,380
39.0,1.0,3.0,378
40.0,1.0,3.0,377
41.0,1.0,3.0,375
42.0,1.0,3.0,374
43.0,1.0,3.0,372
44.0,1.0,3.0,370
45.0,1.0,3.0,370
46.0,1.0,3.0,369
47.0,1.0,3.0,368
48.0,1.0,3.0,366
49.0,1.0,3.0,366
50.0,1.0,3.0,366
51.0,1.0,3.0,366
52.0,1.0,3.0,366
53.0,1.0,3.0,366
54.0,1.0,3.0,364
55.0,1.0,3.0,364
56.0,1.0,3.0,363
57.0,1.0,3.0,362
58.0,1.0,3.0,362
59.0,1.0,3.0,361
60.0,1.0,3.0,360
61.0,1.0,3.0,360
62.0,1.0,3.0,360
63.0,1.0,3.0,359
64.0,1.0,3.0,359
65.0,1.0,3.0,359
66.0,1.0,3.0,359
67.0,1.0,3.0,359
68.0,1.0,3.0,359
69.0,1.0,3.0,359
70.0,1.0,3.0,358
71.0,1.0,3.0,358
72.0,1.0,3.0,358
73.0,1.0,3.0,358
74.0,1.0,3.0,358
75.0,1.0,3.0,358
76.0,1.0,3.0,357
77.0,1.0,3.0,357
78.0,1.0,3.0,357
79.0,1.0,3.0,357
80.0,1.0,3.0,356
81.0,1.0,3.0,356
82.0,1.0,3.0,356
83.0,1.0,3.0,356
84.0,1.0,3.0,355
85.0,1.0,3.0,355
86.0,1.0,3.0,354
87.0,1.0,3.0,354
88.0,1.0,3.0,354
89.0,1.0,3.0,354
90.0,1.0,3.0,354
91.0,1.0,3.0,354
92.0,1.0,3.0,354
93.0,1.0,3.0,354
94.0,1.0,3.0,354
95.0,1.0,3.0,354
96.0,1.0,3.0,354
97.0,1.0,3.0,354
98.0,1.0,3.0,354
99.0,1.0,3.0,354
100.0,1.0,3.0,354
101.0,1.0,3.0,354
102.0,1.0,3.0,353
103.0,1.0,3.0,353
104.0,1.0,3.0,353
105.0,1.0,3.0,353
106.0,1.0,3.0,353
107.0,1.0,3.0,353
108.0,1.0,3.0,353
109.0,1.0,3.0,353
110.0,1.0,3.0,353
111.0,1.0,3.0,353
112.0,1.0,3.0,353
113.0,1.0,3.0,353
114.0,1.0,3.0,353
115.0,1.0,3.0,353
116.0,1.0,3.0,353
117.0,1.0,3.0,353
118.0,1.0,3.0,353
119.0,1.0,3.0,353
120.0,1.0,3.0,353
121.0,1.0,3.0,353
122.0,1.0,3.0,353
123.0,1.0,3.0,353
124.0,1.0,3.0,353
125.0,1.0,3.0,353
126.0,1.0,3.0,353
127.0,1.0,3.0,353
128.0,1.0,3.0,353
129.0,1.0,3.0,353
130.0,1.0,3.0,353
131.0,1.0,3.0,353
132.0,1.0,3.0,353
133.0,1.0,3.0,353
134.0,1.0,3.0,353
135.0,1.0,3.0,353
136.0,1.0,3.0,353
137.0,1.0,3.0,353
138.0,1.0,3.0,353
139.0,1.0,3.0,353
140.0,1.0,3.0,353
141.0,1.0,3.0,353
142.0,1.0,3.0,353
143.0,1.0,3.0,353
144.0,1.0,3.0,353
145.0,1.0,3.0,353
146.0,1.0,3.0,353
147.0,1.0,3.0,353
148.0,1.0,3.0,353
149.0,1.0,3.0,353
150.0,1.0,3.0,353
151.0,1.0,3.0,353
152.0,1.0,3.0,353
153.0,1.0,3.0,353
154.0,1.0,3.0,353
155.0,1.0,3.0,353
156.0,1.0,3.0,353
157.0,1.0,3.0,353
158.0,1.0,3.0,353
159.0,1.0,3.0,353
160.0,1.0,3.0,353
161.0,1.0,3.0,353
162.0,1.0,3.0,353
163.0,1.0,3.0,353
164.0,1.0,3.0,353
165.0,1.0,3.0,353
166.0,1.0,3.0,353
167.0,1.0,3.0,353
168.0,1.0,3.0,353
169.0,1.0,3.0,353
170.0,1.0,3.0,353
171.0,1.0,3.0,353
172.0,1.0,3.0,353
173.0,1.0,3.0,353
174.0,1.0,3.0,353
175.0,1.0,3.0,353
176.0,1.0,3.0,353
177.0,1.0,3.0,353
178.0,1.0,3.0,353
179.0,1.0,3.0,353
180.0,1.0,3.0,353
181.0,1.0,3.0,353
182.0,1.0,3.0,353
183.0,1.0,3.0,353
184.0,1.0,3.0,353
185.0,1.0,3.0,353
186.0,1.0,3.0,353
187.0,1.0,3.0,353
188.0,1.0,3.0,353
189.0,1.0,3.0,353
190.0,1.0,3.0,353
191.0,1.0,3.0,353
192.0,1.0,3.0,353
193.0,1.0,3.0,353
194.0,1.0,3.0,353
195.0,1.0,3.0,353
196.0,1.0,3.0,353
197.0,1.0,3.0,353
198.0,1.0,3.0,353
199.0,1.0,3.0,353
200.0,1.0,3.0,353
201.0,1.0,3.0,353
202.0,1.0,3.0,353
203.0,1.0,3.0,353
204.0,1.0,3.0,353
205.0,1.0,3.0,353
206.0,1.0,3.0,353
207.0,1.0,3.0,353
208.0,1.0,3.0,353
209.0,1.0,3.0,353
210.0,1.0,3.0,353
211.0,1.0,3.0,353
212.0,1.0,3.0,353
213.0,1.0,3.0,353
214.0,1.0,3.0,353
215.0,1.0,3.0,353
216.0,1.0,3.0,353
217.0,1.0,3.0,353
218.0,1.0,3.0,353
219.0,1.0,3.0,353
220.0,1.0,3.0,353
221.0,1.0,3.0,353
222.0,1.0,3.0,353
223.0,1.0,3.0,353
224.0,1.0,3.0,353
225.0,1.0,3.0,353
226.0,1.0,3.0,353
227.0,1.0,3.0,353
228.0,1.0,3.0,353
229.0,1.0,3.0,353
230.0,1.0,3.0,353
231.0,1.0,3.0,353
232.0,1.0,3.0,353
233.0,1.0,3.0,353
234.0,1.0,3.0,353
235.0,1.0,3.0,353
236.0,1.0,3.0,353
237.0,1.0,3.0,353
238.0,1.0,3.0,353
239.0,1.0,3.0,353
240.0,1.0,3.0,353
241.0,1.0,3.0,353
242.0,1.0,3.0,353
243.0,1.0,3.0,353
244.0,1.0,3.0,353
245.0,1.0,3.0,353
246.0,1.0,3.0,353
247.0,1.0,3.0,353
248.0,1.0,3.0,353
249.0,1.0,3.0,353
250.0,1.0,3.0,353
251.0,1.0,3.0,353
252.0,1.0,3.0,353
253.0,1.0,3.0,353
254.0,1.0,3.0,353
255.0,1.0,3.0,353
256.0,1.0,3.0,353
257.0,1.0,3.0,353
258.0,1.0,3.0,353
259.0,1.0,3.0,353
260.0,1.0,3.0,353
261.0,1.0,3.0,353
262.0,1.0,3.0,353
263.0,1.0,3.0,353
264.0,1.0,3.0,353
265.0,1.0,3.0,353
266.0,1.0,3.0,353
267.0,1.0,3.0,353
268.0,1.0,3.0,353
269.0,1.0,3.0,353
270.0,1.0,3.0,353
271.0,1.0,3.0,353
272.0,1.0,3.0,353
273.0,1.0,3.0,353
274.0,1.0,3.0,353
275.0,1.0,3.0,353
276.0,1.0,3.0,353
277.0,1.0,3.0,353
278.0,1.0,3.0,353
279.0,1.0,3.0,353
280.0,1.0,3.0,353
281.0,1.0,3.0,353
282.0,1.0,3.0,353
283.0,1.0,3.0,353
284.0,1.0,3.0,353
285.0,1.0,3.0,353
286.0,1.0,3.0,353
287.0,1.0,3.0,353
288.0,1.0,3.0,353
289.0,1.0,3.0,353
290.0,1.0,3.0,353
291.0,1.0,3.0,353
292.0,1.0,3.0,353
293.0,1.0,3.0,353
294.0,1.0,3.0,353
295.0,1.0,3.0,353
296.0,1.0,3.0,353
297.0,1.0,3.0,353
298.0,1.0,3.0,353
299.0,1.0,3.0,353
300.0,1.0,3.0,353
301.0,1.0,3.0,353
302.0,1.0,3.0,353
303.0,1.0,3.0,353
304.0,1.0,3.0,353
305.0,1.0,3.0,353
306.0,1.0,3.0,353
307.0,1.0,3.0,353
308.0,1.0,3.0,353
309.0,1.0,3.0,353
310.0,1.0,3.0,353
311.0,1.0,3.0,353
312.0,1.0,3.0,353
313.0,1.0,3.0,353
314.0,1.0,3.0,353
315.0,1.0,3.0,353
316.0,1.0,3.0,353
317.0,1.0,3.0,353
318.0,1.0,3.0,353
319.0,1.0,3.0,353
320.0,1.0,3.0,353
321.0,1.0,3.0,353
322.0,1.0,3.0,353
323.0,1.0,3.0,353
324.0,1.0,3.0,353
325.0,1.0,3.0,353
326.0,1.0,3.0,353
327.0,1.0,3.0,353
328.0,1.0,3.0,353
329.0,1.0,3.0,353
330.0,1.0,3.0,353
331.0,1.0,3.0,353
332.0,1.0,3.0,353
333.0,1.0,3.0,353
334.0,1.0,3.0,353
335.0,1.0,3.0,353
336.0,1.0,3.0,353
337.0,1.0,3.0,353
338.0,1.0,3.0,353
339.0,1.0,3.0,353
340.0,1.0,3.0,353
341.0,1.0,3.0,353
342.0,1.0,3.0,353
343.0,1.0,3.0,353
344.0,1.0,3.0,353
345.0,1.0,3.0,353
346.0,1.0,3.0,353
347.0,1.0,3.0,353
348.0,1.0,3.0,353
349.0,1.0,3.0,353
350.0,1.0,3.0,353
351.0,1.0,3.0,353
352.0,1.0,3.0,353
353.0,1.0,3.0,353
354.0,1.0,3.0,353
355.0,1.0,3.0,353
356.0,1.0,3.0,353
357.0,1.0,3.0,353
358.0,1.0,3.0,353
359.0,1.0,3.0,353
360.0,1.0,3.0,353
361.0,1.0,3.0,353
362.0,1.0,3.0,353
363.0,1.0,3.0,353
364.0,1.0,3.0,353
365.0,1.0,3.0,353
366.0,1.0,3.0,353
