Timestamp: 24-Oct-2014 12:28:30
MaxDeathAge: 100
MaxInitialSugar: 25
MaxMetabolism: 10
MaxVision: 6
MinDeathAge: 60
MinInitialSugar: 5
NumAgents: 2250
Replacement: true


"tick","Avg. Metabolism","Avg. Vision","AgentCount"
1.0,5.0,3.0,2250
2.0,5.0,3.0,2142
3.0,4.0,3.0,1745
4.0,3.0,3.0,1297
5.0,3.0,3.0,1003
6.0,2.0,3.0,846
7.0,2.0,3.0,744
8.0,2.0,3.0,682
9.0,2.0,3.0,636
10.0,1.0,3.0,604
11.0,1.0,3.0,581
12.0,1.0,3.0,549
13.0,1.0,3.0,532
14.0,1.0,3.0,513
15.0,1.0,3.0,502
16.0,1.0,3.0,498
17.0,1.0,3.0,493
18.0,1.0,3.0,488
19.0,1.0,3.0,481
20.0,1.0,3.0,476
21.0,1.0,3.0,472
22.0,1.0,3.0,469
23.0,1.0,3.0,465
24.0,1.0,3.0,463
25.0,1.0,3.0,462
26.0,1.0,3.0,460
27.0,1.0,3.0,456
28.0,1.0,3.0,454
29.0,1.0,3.0,452
30.0,1.0,3.0,448
31.0,1.0,3.0,446
32.0,1.0,3.0,444
33.0,1.0,3.0,441
34.0,1.0,3.0,441
35.0,1.0,3.0,439
36.0,1.0,3.0,438
37.0,1.0,3.0,435
38.0,1.0,3.0,434
39.0,1.0,3.0,433
40.0,1.0,3.0,432
41.0,1.0,3.0,427
42.0,1.0,3.0,427
43.0,1.0,3.0,427
44.0,1.0,3.0,426
45.0,1.0,3.0,426
46.0,1.0,3.0,426
47.0,1.0,3.0,424
48.0,1.0,3.0,424
49.0,1.0,3.0,424
50.0,1.0,3.0,423
51.0,1.0,3.0,423
52.0,1.0,3.0,423
53.0,1.0,3.0,421
54.0,1.0,3.0,421
55.0,1.0,3.0,420
56.0,1.0,3.0,419
57.0,1.0,3.0,419
58.0,1.0,3.0,418
59.0,1.0,3.0,418
60.0,1.0,3.0,418
61.0,1.0,3.0,418
62.0,1.0,3.0,417
63.0,1.0,3.0,417
64.0,1.0,3.0,417
65.0,1.0,3.0,417
66.0,1.0,3.0,417
67.0,1.0,3.0,417
68.0,1.0,3.0,417
69.0,1.0,3.0,417
70.0,1.0,3.0,417
71.0,1.0,3.0,417
72.0,1.0,3.0,417
73.0,1.0,3.0,417
74.0,1.0,3.0,417
75.0,1.0,3.0,417
76.0,1.0,3.0,417
77.0,1.0,3.0,417
78.0,1.0,3.0,417
79.0,1.0,3.0,417
80.0,1.0,3.0,417
81.0,1.0,3.0,417
82.0,1.0,3.0,417
83.0,1.0,3.0,417
84.0,1.0,3.0,417
85.0,1.0,3.0,417
86.0,1.0,3.0,417
87.0,1.0,3.0,417
88.0,1.0,3.0,417
89.0,1.0,3.0,417
90.0,1.0,3.0,417
91.0,1.0,3.0,417
92.0,1.0,3.0,417
93.0,1.0,3.0,417
94.0,1.0,3.0,417
95.0,1.0,3.0,417
96.0,1.0,3.0,417
97.0,1.0,3.0,417
98.0,1.0,3.0,417
99.0,1.0,3.0,417
100.0,1.0,3.0,417
101.0,1.0,3.0,417
102.0,1.0,3.0,417
103.0,1.0,3.0,417
104.0,1.0,3.0,417
105.0,1.0,3.0,417
106.0,1.0,3.0,417
107.0,1.0,3.0,417
108.0,1.0,3.0,417
109.0,1.0,3.0,417
110.0,1.0,3.0,417
111.0,1.0,3.0,417
112.0,1.0,3.0,417
113.0,1.0,3.0,417
114.0,1.0,3.0,417
115.0,1.0,3.0,417
116.0,1.0,3.0,417
117.0,1.0,3.0,417
118.0,1.0,3.0,417
119.0,1.0,3.0,417
120.0,1.0,3.0,417
121.0,1.0,3.0,417
122.0,1.0,3.0,417
123.0,1.0,3.0,417
124.0,1.0,3.0,417
125.0,1.0,3.0,417
126.0,1.0,3.0,417
127.0,1.0,3.0,417
128.0,1.0,3.0,417
129.0,1.0,3.0,417
130.0,1.0,3.0,417
131.0,1.0,3.0,417
132.0,1.0,3.0,417
133.0,1.0,3.0,417
134.0,1.0,3.0,417
135.0,1.0,3.0,417
136.0,1.0,3.0,417
137.0,1.0,3.0,417
138.0,1.0,3.0,417
139.0,1.0,3.0,417
140.0,1.0,3.0,417
141.0,1.0,3.0,417
142.0,1.0,3.0,417
143.0,1.0,3.0,417
144.0,1.0,3.0,417
145.0,1.0,3.0,417
146.0,1.0,3.0,417
147.0,1.0,3.0,417
148.0,1.0,3.0,417
149.0,1.0,3.0,417
