Timestamp: 23-Oct-2014 20:54:18
MaxDeathAge: 100
MaxInitialSugar: 25
MaxMetabolism: 4
MaxVision: 6
MinDeathAge: 60
MinInitialSugar: 5
NumAgents: 2250
Replacement: true


"tick","Avg. Metabolism","Avg. Vision","AgentCount"
1.0,2.0,3.0,2250
2.0,2.0,3.0,2250
3.0,2.0,3.0,2205
4.0,2.0,3.0,2089
5.0,2.0,3.0,1952
6.0,2.0,3.0,1810
7.0,2.0,3.0,1659
8.0,1.0,3.0,1494
9.0,1.0,3.0,1366
10.0,1.0,3.0,1247
11.0,1.0,3.0,1176
12.0,1.0,3.0,1121
13.0,1.0,3.0,1086
14.0,1.0,3.0,1050
15.0,1.0,3.0,1020
16.0,1.0,3.0,984
17.0,1.0,3.0,960
18.0,1.0,3.0,944
19.0,1.0,3.0,929
20.0,1.0,3.0,921
21.0,1.0,3.0,910
22.0,1.0,3.0,902
23.0,1.0,3.0,896
24.0,1.0,3.0,889
25.0,1.0,3.0,879
26.0,1.0,3.0,875
27.0,1.0,3.0,873
28.0,1.0,3.0,870
29.0,1.0,3.0,868
30.0,1.0,3.0,864
31.0,1.0,3.0,861
32.0,1.0,3.0,858
33.0,1.0,3.0,855
34.0,1.0,3.0,852
35.0,1.0,3.0,850
36.0,1.0,3.0,845
37.0,1.0,3.0,842
38.0,1.0,3.0,836
39.0,1.0,3.0,832
40.0,1.0,3.0,832
41.0,1.0,3.0,830
42.0,1.0,3.0,826
43.0,1.0,3.0,824
44.0,1.0,3.0,821
45.0,1.0,3.0,817
46.0,1.0,3.0,813
47.0,1.0,3.0,813
48.0,1.0,3.0,812
49.0,1.0,3.0,812
50.0,1.0,3.0,811
51.0,1.0,3.0,810
52.0,1.0,3.0,809
53.0,1.0,3.0,809
54.0,1.0,3.0,808
55.0,1.0,3.0,807
56.0,1.0,3.0,806
57.0,1.0,3.0,804
58.0,1.0,3.0,801
59.0,1.0,3.0,799
60.0,1.0,3.0,796
61.0,1.0,3.0,796
62.0,1.0,3.0,794
63.0,1.0,3.0,794
64.0,1.0,3.0,793
65.0,1.0,3.0,791
66.0,1.0,3.0,790
67.0,1.0,3.0,788
68.0,1.0,3.0,787
69.0,1.0,3.0,785
70.0,1.0,3.0,784
71.0,1.0,3.0,783
72.0,1.0,3.0,783
73.0,1.0,3.0,783
74.0,1.0,3.0,783
75.0,1.0,3.0,783
76.0,1.0,3.0,783
77.0,1.0,3.0,783
78.0,1.0,3.0,782
79.0,1.0,3.0,782
80.0,1.0,3.0,781
81.0,1.0,3.0,780
82.0,1.0,3.0,780
83.0,1.0,3.0,779
84.0,1.0,3.0,779
85.0,1.0,3.0,778
86.0,1.0,3.0,777
87.0,1.0,3.0,777
88.0,1.0,3.0,777
89.0,1.0,3.0,777
90.0,1.0,3.0,776
91.0,1.0,3.0,776
92.0,1.0,3.0,776
93.0,1.0,3.0,776
94.0,1.0,3.0,776
95.0,1.0,3.0,776
96.0,1.0,3.0,776
97.0,1.0,3.0,775
98.0,1.0,3.0,775
99.0,1.0,3.0,775
100.0,1.0,3.0,775
101.0,1.0,3.0,775
102.0,1.0,3.0,775
103.0,1.0,3.0,775
104.0,1.0,3.0,774
105.0,1.0,3.0,774
106.0,1.0,3.0,774
107.0,1.0,3.0,774
108.0,1.0,3.0,773
109.0,1.0,3.0,773
110.0,1.0,3.0,773
111.0,1.0,3.0,773
112.0,1.0,3.0,773
113.0,1.0,3.0,773
114.0,1.0,3.0,773
115.0,1.0,3.0,773
116.0,1.0,3.0,772
117.0,1.0,3.0,772
118.0,1.0,3.0,771
119.0,1.0,3.0,771
120.0,1.0,3.0,771
121.0,1.0,3.0,771
122.0,1.0,3.0,771
123.0,1.0,3.0,771
124.0,1.0,3.0,771
125.0,1.0,3.0,771
126.0,1.0,3.0,771
127.0,1.0,3.0,771
128.0,1.0,3.0,771
129.0,1.0,3.0,771
130.0,1.0,3.0,771
131.0,1.0,3.0,771
132.0,1.0,3.0,771
133.0,1.0,3.0,771
134.0,1.0,3.0,771
135.0,1.0,3.0,770
136.0,1.0,3.0,770
137.0,1.0,3.0,770
138.0,1.0,3.0,770
139.0,1.0,3.0,770
140.0,1.0,3.0,770
141.0,1.0,3.0,770
142.0,1.0,3.0,770
143.0,1.0,3.0,770
144.0,1.0,3.0,770
145.0,1.0,3.0,770
146.0,1.0,3.0,770
147.0,1.0,3.0,770
148.0,1.0,3.0,770
149.0,1.0,3.0,769
150.0,1.0,3.0,769
151.0,1.0,3.0,768
152.0,1.0,3.0,767
153.0,1.0,3.0,767
154.0,1.0,3.0,767
155.0,1.0,3.0,767
156.0,1.0,3.0,767
157.0,1.0,3.0,767
158.0,1.0,3.0,767
159.0,1.0,3.0,767
160.0,1.0,3.0,766
161.0,1.0,3.0,766
162.0,1.0,3.0,766
163.0,1.0,3.0,765
164.0,1.0,3.0,765
165.0,1.0,3.0,765
166.0,1.0,3.0,764
167.0,1.0,3.0,764
168.0,1.0,3.0,764
169.0,1.0,3.0,764
170.0,1.0,3.0,764
171.0,1.0,3.0,763
172.0,1.0,3.0,763
173.0,1.0,3.0,763
174.0,1.0,3.0,763
175.0,1.0,3.0,763
176.0,1.0,3.0,763
177.0,1.0,3.0,763
178.0,1.0,3.0,763
179.0,1.0,3.0,763
180.0,1.0,3.0,763
181.0,1.0,3.0,763
182.0,1.0,3.0,763
183.0,1.0,3.0,763
184.0,1.0,3.0,763
185.0,1.0,3.0,763
186.0,1.0,3.0,763
187.0,1.0,3.0,762
188.0,1.0,3.0,762
189.0,1.0,3.0,761
190.0,1.0,3.0,761
191.0,1.0,3.0,761
192.0,1.0,3.0,761
193.0,1.0,3.0,760
194.0,1.0,3.0,760
195.0,1.0,3.0,760
196.0,1.0,3.0,760
197.0,1.0,3.0,760
198.0,1.0,3.0,760
199.0,1.0,3.0,760
200.0,1.0,3.0,760
201.0,1.0,3.0,760
202.0,1.0,3.0,760
203.0,1.0,3.0,760
204.0,1.0,3.0,760
205.0,1.0,3.0,760
206.0,1.0,3.0,760
207.0,1.0,3.0,760
208.0,1.0,3.0,760
209.0,1.0,3.0,760
210.0,1.0,3.0,760
211.0,1.0,3.0,760
212.0,1.0,3.0,760
213.0,1.0,3.0,760
214.0,1.0,3.0,760
215.0,1.0,3.0,760
216.0,1.0,3.0,760
217.0,1.0,3.0,759
218.0,1.0,3.0,759
219.0,1.0,3.0,759
220.0,1.0,3.0,758
221.0,1.0,3.0,758
222.0,1.0,3.0,758
223.0,1.0,3.0,758
224.0,1.0,3.0,758
225.0,1.0,3.0,758
226.0,1.0,3.0,758
227.0,1.0,3.0,758
228.0,1.0,3.0,758
229.0,1.0,3.0,758
230.0,1.0,3.0,758
231.0,1.0,3.0,758
232.0,1.0,3.0,758
233.0,1.0,3.0,758
234.0,1.0,3.0,758
235.0,1.0,3.0,758
236.0,1.0,3.0,758
237.0,1.0,3.0,758
238.0,1.0,3.0,758
239.0,1.0,3.0,758
240.0,1.0,3.0,758
241.0,1.0,3.0,758
242.0,1.0,3.0,757
243.0,1.0,3.0,757
244.0,1.0,3.0,757
245.0,1.0,3.0,757
246.0,1.0,3.0,757
247.0,1.0,3.0,757
248.0,1.0,3.0,756
249.0,1.0,3.0,756
250.0,1.0,3.0,756
251.0,1.0,3.0,756
252.0,1.0,3.0,756
253.0,1.0,3.0,756
254.0,1.0,3.0,756
255.0,1.0,3.0,756
256.0,1.0,3.0,756
257.0,1.0,3.0,756
258.0,1.0,3.0,756
259.0,1.0,3.0,756
260.0,1.0,3.0,755
261.0,1.0,3.0,755
262.0,1.0,3.0,755
263.0,1.0,3.0,755
264.0,1.0,3.0,755
265.0,1.0,3.0,755
266.0,1.0,3.0,755
267.0,1.0,3.0,755
268.0,1.0,3.0,755
269.0,1.0,3.0,755
270.0,1.0,3.0,755
271.0,1.0,3.0,755
272.0,1.0,3.0,755
273.0,1.0,3.0,755
274.0,1.0,3.0,755
275.0,1.0,3.0,755
276.0,1.0,3.0,755
277.0,1.0,3.0,755
278.0,1.0,3.0,755
279.0,1.0,3.0,755
280.0,1.0,3.0,754
281.0,1.0,3.0,754
282.0,1.0,3.0,754
283.0,1.0,3.0,754
284.0,1.0,3.0,754
285.0,1.0,3.0,754
286.0,1.0,3.0,754
287.0,1.0,3.0,754
288.0,1.0,3.0,753
289.0,1.0,3.0,753
290.0,1.0,3.0,753
291.0,1.0,3.0,753
292.0,1.0,3.0,753
293.0,1.0,3.0,753
294.0,1.0,3.0,753
295.0,1.0,3.0,753
296.0,1.0,3.0,753
297.0,1.0,3.0,753
298.0,1.0,3.0,753
299.0,1.0,3.0,753
300.0,1.0,3.0,753
301.0,1.0,3.0,753
302.0,1.0,3.0,753
303.0,1.0,3.0,753
304.0,1.0,3.0,753
305.0,1.0,3.0,753
306.0,1.0,3.0,753
307.0,1.0,3.0,753
308.0,1.0,3.0,752
309.0,1.0,3.0,752
310.0,1.0,3.0,752
311.0,1.0,3.0,752
312.0,1.0,3.0,752
313.0,1.0,3.0,752
314.0,1.0,3.0,752
315.0,1.0,3.0,752
316.0,1.0,3.0,752
317.0,1.0,3.0,752
318.0,1.0,3.0,752
319.0,1.0,3.0,752
320.0,1.0,3.0,752
321.0,1.0,3.0,752
322.0,1.0,3.0,752
323.0,1.0,3.0,752
324.0,1.0,3.0,752
325.0,1.0,3.0,752
326.0,1.0,3.0,752
327.0,1.0,3.0,752
328.0,1.0,3.0,752
329.0,1.0,3.0,752
330.0,1.0,3.0,752
331.0,1.0,3.0,752
332.0,1.0,3.0,752
333.0,1.0,3.0,752
334.0,1.0,3.0,752
335.0,1.0,3.0,752
336.0,1.0,3.0,752
337.0,1.0,3.0,752
338.0,1.0,3.0,752
339.0,1.0,3.0,752
340.0,1.0,3.0,752
341.0,1.0,3.0,751
342.0,1.0,3.0,751
343.0,1.0,3.0,751
344.0,1.0,3.0,751
345.0,1.0,3.0,751
346.0,1.0,3.0,751
347.0,1.0,3.0,751
348.0,1.0,3.0,751
349.0,1.0,3.0,751
350.0,1.0,3.0,751
351.0,1.0,3.0,750
352.0,1.0,3.0,750
353.0,1.0,3.0,750
354.0,1.0,3.0,750
355.0,1.0,3.0,750
356.0,1.0,3.0,750
357.0,1.0,3.0,750
358.0,1.0,3.0,750
359.0,1.0,3.0,750
360.0,1.0,3.0,750
361.0,1.0,3.0,750
362.0,1.0,3.0,750
363.0,1.0,3.0,750
364.0,1.0,3.0,750
365.0,1.0,3.0,750
366.0,1.0,3.0,750
367.0,1.0,3.0,750
368.0,1.0,3.0,750
369.0,1.0,3.0,750
370.0,1.0,3.0,750
371.0,1.0,3.0,750
372.0,1.0,3.0,750
373.0,1.0,3.0,750
374.0,1.0,3.0,750
375.0,1.0,3.0,750
376.0,1.0,3.0,750
377.0,1.0,3.0,750
378.0,1.0,3.0,750
379.0,1.0,3.0,750
380.0,1.0,3.0,750
381.0,1.0,3.0,750
382.0,1.0,3.0,750
383.0,1.0,3.0,750
384.0,1.0,3.0,750
385.0,1.0,3.0,750
386.0,1.0,3.0,750
387.0,1.0,3.0,750
388.0,1.0,3.0,750
389.0,1.0,3.0,750
390.0,1.0,3.0,750
391.0,1.0,3.0,750
392.0,1.0,3.0,750
393.0,1.0,3.0,750
394.0,1.0,3.0,750
395.0,1.0,3.0,750
396.0,1.0,3.0,750
397.0,1.0,3.0,750
398.0,1.0,3.0,750
399.0,1.0,3.0,750
400.0,1.0,3.0,750
401.0,1.0,3.0,750
402.0,1.0,3.0,750
403.0,1.0,3.0,750
404.0,1.0,3.0,750
405.0,1.0,3.0,750
406.0,1.0,3.0,750
407.0,1.0,3.0,750
408.0,1.0,3.0,750
409.0,1.0,3.0,750
410.0,1.0,3.0,750
411.0,1.0,3.0,750
412.0,1.0,3.0,750
413.0,1.0,3.0,750
414.0,1.0,3.0,750
415.0,1.0,3.0,750
416.0,1.0,3.0,750
417.0,1.0,3.0,750
