14-Nov-2014 23:04:27
RngSeed: 1416006267109
DelayedPheromone: true
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 100
NumCities: 10
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 120

"tick", "Best Path Length", "Avg. Path Length"
1.0, 1061.7778725086432, 1288.0
2.0, 814.6177748241727, 989.0
3.0, 814.6177748241727, 985.0
4.0, 777.8584377064539, 960.0
5.0, 777.8584377064539, 951.0
6.0, 777.8584377064539, 959.0
7.0, 777.8584377064539, 966.0
8.0, 777.8584377064539, 937.0
9.0, 777.8584377064539, 945.0
10.0, 777.8584377064539, 944.0
11.0, 777.8584377064539, 955.0
12.0, 777.8584377064539, 949.0
13.0, 771.3463782102206, 948.0
14.0, 771.3463782102206, 932.0
15.0, 763.1339995695284, 945.0
16.0, 763.1339995695284, 942.0
17.0, 763.1339995695284, 943.0
18.0, 763.1339995695284, 940.0
19.0, 763.1339995695284, 933.0
20.0, 763.1339995695284, 941.0
21.0, 763.1339995695284, 949.0
22.0, 763.1339995695284, 936.0
23.0, 763.1339995695284, 945.0
24.0, 763.1339995695284, 948.0
25.0, 763.1339995695284, 931.0
26.0, 763.1339995695284, 921.0
27.0, 763.1339995695284, 936.0
28.0, 763.1339995695284, 935.0
29.0, 763.1339995695284, 945.0
30.0, 763.1339995695284, 934.0
31.0, 763.1339995695284, 936.0
32.0, 763.1339995695284, 950.0
33.0, 763.1339995695284, 939.0
34.0, 763.1339995695284, 939.0
35.0, 763.1339995695284, 934.0
36.0, 763.1339995695284, 941.0
37.0, 763.1339995695284, 947.0
38.0, 751.4670733269978, 932.0
39.0, 751.4670733269978, 942.0
40.0, 751.4670733269978, 941.0
41.0, 751.4670733269978, 944.0
42.0, 751.4670733269978, 938.0
43.0, 751.4670733269978, 940.0
44.0, 751.4670733269978, 955.0
45.0, 751.4670733269978, 944.0
46.0, 751.4670733269978, 940.0
47.0, 751.4670733269978, 941.0
48.0, 751.4670733269978, 946.0
49.0, 751.4670733269978, 954.0
50.0, 751.4670733269978, 935.0
51.0, 751.4670733269978, 934.0
52.0, 751.4670733269978, 933.0
53.0, 751.4670733269978, 943.0
54.0, 751.4670733269978, 942.0
55.0, 751.4670733269978, 929.0
56.0, 751.4670733269978, 936.0
57.0, 751.4670733269978, 936.0
58.0, 751.4670733269978, 937.0
59.0, 751.4670733269978, 947.0
60.0, 751.4670733269978, 946.0
61.0, 728.2195114183269, 929.0
62.0, 728.2195114183269, 945.0
63.0, 728.2195114183269, 936.0
64.0, 728.2195114183269, 944.0
65.0, 728.2195114183269, 948.0
66.0, 728.2195114183269, 944.0
67.0, 728.2195114183269, 925.0
68.0, 728.2195114183269, 947.0
69.0, 728.2195114183269, 933.0
70.0, 728.2195114183269, 935.0
71.0, 728.2195114183269, 940.0
72.0, 728.2195114183269, 942.0
73.0, 728.2195114183269, 945.0
74.0, 728.2195114183269, 955.0
75.0, 728.2195114183269, 930.0
76.0, 728.2195114183269, 944.0
77.0, 728.2195114183269, 931.0
78.0, 728.2195114183269, 944.0
79.0, 728.2195114183269, 945.0
80.0, 728.2195114183269, 948.0
81.0, 728.2195114183269, 927.0
82.0, 728.2195114183269, 932.0
83.0, 728.2195114183269, 937.0
84.0, 728.2195114183269, 942.0
85.0, 718.8021763609754, 930.0
86.0, 718.8021763609754, 935.0
87.0, 718.8021763609754, 945.0
88.0, 718.8021763609754, 935.0
89.0, 718.8021763609754, 936.0
90.0, 718.8021763609754, 945.0
91.0, 718.8021763609754, 940.0
92.0, 718.8021763609754, 945.0
93.0, 718.8021763609754, 933.0
94.0, 718.8021763609754, 940.0
95.0, 718.8021763609754, 947.0
96.0, 718.8021763609754, 935.0
97.0, 718.8021763609754, 934.0
98.0, 718.8021763609754, 944.0
99.0, 718.8021763609754, 941.0
100.0, 718.8021763609754, 948.0
101.0, 718.8021763609754, 943.0
102.0, 718.8021763609754, 938.0
103.0, 718.8021763609754, 933.0
104.0, 718.8021763609754, 939.0
105.0, 718.8021763609754, 931.0
106.0, 718.8021763609754, 938.0
107.0, 718.8021763609754, 939.0
108.0, 718.8021763609754, 932.0
109.0, 718.8021763609754, 937.0
110.0, 718.8021763609754, 941.0
111.0, 718.8021763609754, 922.0
112.0, 718.8021763609754, 939.0
113.0, 718.8021763609754, 941.0
114.0, 718.8021763609754, 942.0
115.0, 718.8021763609754, 928.0
116.0, 718.8021763609754, 937.0
117.0, 718.8021763609754, 940.0
118.0, 718.8021763609754, 933.0
119.0, 718.8021763609754, 942.0
120.0, 718.8021763609754, 943.0
121.0, 718.8021763609754, 957.0
122.0, 718.8021763609754, 941.0
123.0, 718.8021763609754, 935.0
124.0, 718.8021763609754, 931.0
125.0, 718.8021763609754, 934.0
126.0, 718.8021763609754, 938.0
127.0, 718.8021763609754, 936.0
128.0, 718.8021763609754, 935.0
129.0, 718.8021763609754, 939.0
130.0, 718.8021763609754, 928.0
131.0, 718.8021763609754, 945.0
132.0, 718.8021763609754, 931.0
133.0, 718.8021763609754, 947.0
134.0, 718.8021763609754, 941.0
135.0, 718.8021763609754, 926.0
136.0, 718.8021763609754, 934.0
137.0, 718.8021763609754, 949.0
138.0, 718.8021763609754, 927.0
139.0, 718.8021763609754, 943.0
140.0, 718.8021763609754, 931.0
141.0, 718.8021763609754, 951.0
142.0, 718.8021763609754, 947.0
143.0, 718.8021763609754, 938.0
144.0, 718.8021763609754, 938.0
145.0, 718.8021763609754, 948.0
146.0, 718.8021763609754, 944.0
147.0, 718.8021763609754, 937.0
