Timestamp: 14-Nov-2014 12:40:07
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 100
NumCities: 100
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 150


"tick","Avg. Path Lengh"
1.0,2283.0
2.0,1671.0
3.0,1600.0
4.0,1599.0
5.0,1586.0
6.0,1559.0
7.0,1569.0
8.0,1550.0
9.0,1562.0
10.0,1564.0
11.0,1550.0
12.0,1547.0
13.0,1552.0
14.0,1533.0
15.0,1547.0
16.0,1534.0
17.0,1535.0
18.0,1541.0
19.0,1531.0
20.0,1543.0
21.0,1545.0
22.0,1538.0
23.0,1529.0
24.0,1540.0
25.0,1538.0
26.0,1526.0
27.0,1536.0
28.0,1548.0
29.0,1555.0
30.0,1529.0
31.0,1518.0
32.0,1540.0
33.0,1539.0
34.0,1527.0
35.0,1546.0
36.0,1552.0
37.0,1535.0
38.0,1525.0
39.0,1547.0
40.0,1535.0
41.0,1534.0
42.0,1524.0
43.0,1526.0
44.0,1542.0
45.0,1534.0
46.0,1555.0
47.0,1533.0
48.0,1536.0
49.0,1529.0
50.0,1537.0
51.0,1530.0
52.0,1533.0
53.0,1539.0
54.0,1536.0
55.0,1530.0
56.0,1546.0
57.0,1525.0
58.0,1527.0
59.0,1521.0
60.0,1531.0
61.0,1532.0
62.0,1528.0
63.0,1536.0
64.0,1526.0
65.0,1535.0
66.0,1531.0
67.0,1537.0
68.0,1537.0
69.0,1528.0
70.0,1525.0
71.0,1515.0
72.0,1539.0
73.0,1541.0
74.0,1543.0
75.0,1543.0
76.0,1551.0
77.0,1550.0
78.0,1526.0
79.0,1543.0
80.0,1537.0
81.0,1550.0
82.0,1529.0
83.0,1512.0
84.0,1529.0
85.0,1544.0
86.0,1529.0
87.0,1533.0
88.0,1528.0
89.0,1532.0
90.0,1525.0
91.0,1525.0
92.0,1531.0
93.0,1528.0
94.0,1526.0
95.0,1543.0
96.0,1522.0
97.0,1562.0
98.0,1543.0
99.0,1538.0
100.0,1526.0
101.0,1528.0
102.0,1547.0
103.0,1534.0
104.0,1538.0
105.0,1542.0
106.0,1533.0
107.0,1536.0
108.0,1528.0
109.0,1545.0
110.0,1551.0
111.0,1540.0
112.0,1544.0
113.0,1537.0
114.0,1529.0
115.0,1536.0
116.0,1546.0
117.0,1523.0
118.0,1540.0
119.0,1533.0
120.0,1526.0
121.0,1544.0
122.0,1533.0
123.0,1524.0
124.0,1525.0
125.0,1542.0
126.0,1543.0
127.0,1551.0
128.0,1520.0
129.0,1532.0
130.0,1531.0
131.0,1533.0
132.0,1536.0
133.0,1532.0
134.0,1539.0
135.0,1533.0
136.0,1540.0
137.0,1528.0
138.0,1541.0
139.0,1531.0
140.0,1538.0
141.0,1542.0
142.0,1531.0
143.0,1520.0
144.0,1536.0
145.0,1546.0
146.0,1528.0
147.0,1535.0
148.0,1517.0
