14-Nov-2014 22:41:12
RngSeed: 1416004871872
DelayedPheromone: false
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 40
NumCities: 10
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 120

"tick", "Best Path Length", "Avg. Path Length"
1.0, 374.8598599218038, 467.0
2.0, 371.29279018767505, 436.0
3.0, 371.29279018767505, 435.0
4.0, 371.29279018767505, 441.0
5.0, 371.29279018767505, 437.0
6.0, 371.29279018767505, 438.0
7.0, 371.25470115979755, 433.0
8.0, 371.25470115979755, 427.0
9.0, 360.2781572371928, 430.0
10.0, 360.2781572371928, 431.0
11.0, 360.2781572371928, 432.0
12.0, 360.2781572371928, 440.0
13.0, 360.2781572371928, 422.0
14.0, 360.2781572371928, 426.0
15.0, 360.2781572371928, 428.0
16.0, 360.2781572371928, 431.0
17.0, 360.2781572371928, 432.0
18.0, 360.2781572371928, 428.0
19.0, 360.2781572371928, 432.0
20.0, 360.2781572371928, 440.0
21.0, 360.2781572371928, 437.0
22.0, 360.2781572371928, 430.0
23.0, 360.2781572371928, 432.0
24.0, 360.2781572371928, 435.0
25.0, 360.2781572371928, 426.0
26.0, 360.2781572371928, 421.0
27.0, 360.2781572371928, 425.0
28.0, 360.2781572371928, 433.0
29.0, 359.61539083648574, 432.0
30.0, 359.61539083648574, 428.0
31.0, 359.61539083648574, 432.0
32.0, 359.61539083648574, 434.0
33.0, 359.61539083648574, 438.0
34.0, 359.61539083648574, 431.0
35.0, 359.61539083648574, 432.0
36.0, 359.61539083648574, 435.0
37.0, 359.61539083648574, 441.0
38.0, 359.61539083648574, 434.0
39.0, 359.61539083648574, 437.0
40.0, 359.61539083648574, 429.0
41.0, 359.61539083648574, 421.0
42.0, 359.61539083648574, 434.0
43.0, 359.61539083648574, 435.0
44.0, 359.61539083648574, 444.0
45.0, 359.61539083648574, 434.0
46.0, 352.9954843165607, 432.0
47.0, 352.9954843165607, 436.0
48.0, 352.9954843165607, 431.0
49.0, 352.9954843165607, 425.0
50.0, 352.9954843165607, 428.0
51.0, 352.9954843165607, 428.0
52.0, 352.9954843165607, 436.0
53.0, 352.9954843165607, 434.0
54.0, 352.9954843165607, 429.0
55.0, 352.9954843165607, 429.0
56.0, 352.9954843165607, 431.0
57.0, 352.9954843165607, 430.0
58.0, 352.9954843165607, 431.0
59.0, 352.9954843165607, 430.0
60.0, 352.9954843165607, 419.0
61.0, 352.9954843165607, 436.0
62.0, 352.9954843165607, 430.0
63.0, 352.9954843165607, 431.0
64.0, 352.9954843165607, 426.0
65.0, 352.9954843165607, 432.0
66.0, 352.9954843165607, 430.0
67.0, 352.9954843165607, 422.0
68.0, 352.9954843165607, 428.0
69.0, 352.9954843165607, 431.0
70.0, 352.9954843165607, 434.0
71.0, 352.9954843165607, 430.0
72.0, 352.9954843165607, 430.0
73.0, 352.9954843165607, 425.0
74.0, 352.9954843165607, 437.0
75.0, 352.9954843165607, 431.0
76.0, 352.9954843165607, 432.0
77.0, 352.9954843165607, 435.0
78.0, 352.9954843165607, 433.0
79.0, 352.9954843165607, 430.0
80.0, 352.9954843165607, 428.0
81.0, 352.9954843165607, 435.0
82.0, 352.9954843165607, 428.0
83.0, 352.9954843165607, 428.0
84.0, 352.9954843165607, 431.0
85.0, 352.9954843165607, 426.0
86.0, 352.9954843165607, 434.0
87.0, 352.9954843165607, 430.0
88.0, 352.9954843165607, 424.0
89.0, 352.9954843165607, 437.0
90.0, 352.9954843165607, 426.0
91.0, 352.9954843165607, 432.0
92.0, 352.9954843165607, 429.0
93.0, 352.9954843165607, 428.0
94.0, 352.9954843165607, 433.0
95.0, 352.9954843165607, 434.0
96.0, 352.9954843165607, 437.0
97.0, 352.9954843165607, 436.0
98.0, 352.9954843165607, 437.0
99.0, 352.9954843165607, 431.0
100.0, 352.9954843165607, 430.0
101.0, 352.9954843165607, 427.0
102.0, 352.9954843165607, 434.0
103.0, 352.9954843165607, 434.0
104.0, 352.9954843165607, 423.0
105.0, 352.9954843165607, 427.0
106.0, 352.9954843165607, 432.0
107.0, 352.9954843165607, 426.0
108.0, 352.9954843165607, 432.0
109.0, 352.9954843165607, 436.0
110.0, 352.9954843165607, 435.0
111.0, 352.9954843165607, 439.0
112.0, 352.9954843165607, 430.0
113.0, 352.9954843165607, 427.0
114.0, 352.9954843165607, 436.0
115.0, 352.9954843165607, 438.0
116.0, 352.9954843165607, 432.0
117.0, 352.9954843165607, 433.0
118.0, 352.9954843165607, 435.0
119.0, 352.9954843165607, 437.0
120.0, 352.9954843165607, 430.0
121.0, 352.9954843165607, 433.0
122.0, 352.9954843165607, 428.0
123.0, 352.9954843165607, 438.0
124.0, 352.9954843165607, 429.0
125.0, 352.9954843165607, 428.0
126.0, 352.9954843165607, 427.0
127.0, 352.9954843165607, 437.0
128.0, 352.9954843165607, 440.0
129.0, 352.9954843165607, 422.0
130.0, 352.9954843165607, 433.0
131.0, 352.9954843165607, 426.0
132.0, 352.9954843165607, 438.0
133.0, 352.9954843165607, 432.0
134.0, 352.9954843165607, 440.0
135.0, 352.9954843165607, 433.0
136.0, 352.9954843165607, 431.0
137.0, 352.9954843165607, 430.0
138.0, 352.9954843165607, 429.0
139.0, 352.9954843165607, 427.0
140.0, 352.9954843165607, 437.0
141.0, 352.9954843165607, 437.0
142.0, 352.9954843165607, 428.0
143.0, 352.9954843165607, 434.0
144.0, 352.9954843165607, 437.0
145.0, 352.9954843165607, 438.0
146.0, 352.9954843165607, 426.0
147.0, 352.9954843165607, 429.0
