14-Nov-2014 12:44:45
RngSeed: 1415969085155
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 100
NumCities: 20
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 120

"tick", "Best Path Length", "Avg. Path Length"
1.0, 589.7783052764554, 814.0
2.0, 551.6027565447066, 689.0
3.0, 529.2300924228036, 674.0
4.0, 522.9471478667787, 667.0
5.0, 507.91949670990834, 657.0
6.0, 507.91949670990834, 659.0
7.0, 507.91949670990834, 663.0
8.0, 507.91949670990834, 659.0
9.0, 507.91949670990834, 661.0
10.0, 507.91949670990834, 657.0
11.0, 507.91949670990834, 648.0
12.0, 507.91949670990834, 649.0
13.0, 507.91949670990834, 650.0
14.0, 507.91949670990834, 648.0
15.0, 507.91949670990834, 649.0
16.0, 507.91949670990834, 648.0
17.0, 507.91949670990834, 652.0
18.0, 507.91949670990834, 651.0
19.0, 507.91949670990834, 659.0
20.0, 507.91949670990834, 655.0
21.0, 507.91949670990834, 651.0
22.0, 507.91949670990834, 652.0
23.0, 507.91949670990834, 652.0
24.0, 507.91949670990834, 662.0
25.0, 507.91949670990834, 657.0
26.0, 507.91949670990834, 661.0
27.0, 507.91949670990834, 667.0
28.0, 507.91949670990834, 659.0
29.0, 507.91949670990834, 649.0
30.0, 507.91949670990834, 653.0
31.0, 507.91949670990834, 655.0
32.0, 507.91949670990834, 653.0
33.0, 507.91949670990834, 658.0
34.0, 507.91949670990834, 662.0
35.0, 507.91949670990834, 658.0
36.0, 507.91949670990834, 667.0
37.0, 507.91949670990834, 661.0
38.0, 507.91949670990834, 677.0
39.0, 507.91949670990834, 669.0
40.0, 507.91949670990834, 655.0
41.0, 507.91949670990834, 668.0
42.0, 507.91949670990834, 670.0
43.0, 507.91949670990834, 665.0
44.0, 507.91949670990834, 666.0
45.0, 507.91949670990834, 651.0
46.0, 507.91949670990834, 661.0
47.0, 507.91949670990834, 659.0
48.0, 507.91949670990834, 661.0
49.0, 507.91949670990834, 655.0
50.0, 507.91949670990834, 649.0
51.0, 507.91949670990834, 661.0
52.0, 507.91949670990834, 651.0
53.0, 507.91949670990834, 651.0
54.0, 507.91949670990834, 653.0
55.0, 507.91949670990834, 658.0
56.0, 507.91949670990834, 662.0
57.0, 507.91949670990834, 662.0
58.0, 507.91949670990834, 652.0
59.0, 507.91949670990834, 655.0
60.0, 507.91949670990834, 664.0
61.0, 507.91949670990834, 664.0
62.0, 507.91949670990834, 657.0
63.0, 507.91949670990834, 664.0
64.0, 507.91949670990834, 656.0
65.0, 507.91949670990834, 664.0
66.0, 507.91949670990834, 656.0
67.0, 507.91949670990834, 657.0
68.0, 507.91949670990834, 659.0
69.0, 507.91949670990834, 668.0
70.0, 507.91949670990834, 654.0
71.0, 507.91949670990834, 660.0
72.0, 507.91949670990834, 650.0
73.0, 507.91949670990834, 651.0
74.0, 507.91949670990834, 652.0
75.0, 507.91949670990834, 658.0
76.0, 507.91949670990834, 663.0
77.0, 507.91949670990834, 649.0
78.0, 507.91949670990834, 655.0
79.0, 507.91949670990834, 662.0
80.0, 507.91949670990834, 658.0
81.0, 507.91949670990834, 661.0
82.0, 507.91949670990834, 660.0
83.0, 507.91949670990834, 666.0
84.0, 507.91949670990834, 659.0
85.0, 507.91949670990834, 667.0
86.0, 507.91949670990834, 658.0
87.0, 507.91949670990834, 659.0
88.0, 507.91949670990834, 660.0
89.0, 507.91949670990834, 667.0
90.0, 507.91949670990834, 652.0
91.0, 507.91949670990834, 653.0
92.0, 507.91949670990834, 655.0
93.0, 507.91949670990834, 671.0
94.0, 507.91949670990834, 661.0
95.0, 507.91949670990834, 660.0
96.0, 507.91949670990834, 654.0
97.0, 507.91949670990834, 661.0
98.0, 507.91949670990834, 657.0
99.0, 507.91949670990834, 656.0
100.0, 507.91949670990834, 654.0
101.0, 507.91949670990834, 648.0
102.0, 507.91949670990834, 648.0
103.0, 507.91949670990834, 658.0
104.0, 507.91949670990834, 649.0
105.0, 507.91949670990834, 665.0
106.0, 507.91949670990834, 653.0
107.0, 507.91949670990834, 660.0
108.0, 507.91949670990834, 657.0
109.0, 507.91949670990834, 656.0
110.0, 507.91949670990834, 651.0
111.0, 507.91949670990834, 660.0
112.0, 507.91949670990834, 659.0
113.0, 507.91949670990834, 644.0
114.0, 507.91949670990834, 653.0
115.0, 507.91949670990834, 659.0
116.0, 507.91949670990834, 654.0
117.0, 507.91949670990834, 656.0
118.0, 507.91949670990834, 664.0
119.0, 507.91949670990834, 655.0
120.0, 507.91949670990834, 652.0
121.0, 507.91949670990834, 654.0
122.0, 507.91949670990834, 655.0
123.0, 507.91949670990834, 666.0
124.0, 507.91949670990834, 661.0
125.0, 507.91949670990834, 666.0
126.0, 507.91949670990834, 659.0
127.0, 507.91949670990834, 652.0
128.0, 507.91949670990834, 662.0
129.0, 507.91949670990834, 657.0
130.0, 507.91949670990834, 655.0
131.0, 507.91949670990834, 658.0
132.0, 507.91949670990834, 660.0
133.0, 507.91949670990834, 666.0
134.0, 507.91949670990834, 663.0
135.0, 507.91949670990834, 660.0
136.0, 507.91949670990834, 648.0
137.0, 507.91949670990834, 648.0
138.0, 507.91949670990834, 663.0
139.0, 507.91949670990834, 663.0
140.0, 507.91949670990834, 657.0
141.0, 507.91949670990834, 653.0
142.0, 507.91949670990834, 655.0
143.0, 507.91949670990834, 655.0
144.0, 507.91949670990834, 653.0
145.0, 507.91949670990834, 650.0
146.0, 507.91949670990834, 660.0
147.0, 507.91949670990834, 657.0
148.0, 507.91949670990834, 664.0
