Timestamp: 13-Nov-2014 20:04:02
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 40
NumCities: 20
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 150


"tick","Avg. Path Lengh"
1.0,630.0
2.0,640.0
3.0,611.0
4.0,622.0
5.0,634.0
6.0,609.0
7.0,613.0
8.0,631.0
9.0,610.0
10.0,630.0
11.0,621.0
12.0,617.0
13.0,619.0
14.0,624.0
15.0,629.0
16.0,626.0
17.0,643.0
18.0,629.0
19.0,625.0
20.0,630.0
21.0,610.0
22.0,610.0
23.0,615.0
24.0,617.0
25.0,631.0
26.0,623.0
27.0,607.0
28.0,623.0
29.0,628.0
30.0,630.0
31.0,619.0
32.0,624.0
33.0,615.0
34.0,637.0
35.0,620.0
36.0,613.0
37.0,611.0
38.0,623.0
39.0,615.0
40.0,626.0
41.0,616.0
42.0,619.0
43.0,617.0
44.0,624.0
45.0,606.0
46.0,609.0
47.0,635.0
48.0,613.0
49.0,632.0
50.0,621.0
51.0,631.0
52.0,613.0
53.0,610.0
54.0,626.0
55.0,611.0
56.0,596.0
57.0,582.0
58.0,584.0
59.0,593.0
60.0,577.0
61.0,588.0
62.0,590.0
63.0,583.0
64.0,589.0
65.0,594.0
66.0,592.0
67.0,590.0
68.0,601.0
69.0,593.0
70.0,595.0
71.0,592.0
72.0,588.0
73.0,588.0
74.0,596.0
75.0,587.0
76.0,587.0
77.0,588.0
78.0,589.0
79.0,601.0
80.0,594.0
81.0,596.0
82.0,586.0
83.0,589.0
84.0,599.0
85.0,597.0
86.0,585.0
87.0,596.0
88.0,591.0
89.0,586.0
90.0,589.0
91.0,578.0
92.0,594.0
93.0,593.0
94.0,598.0
95.0,592.0
96.0,591.0
97.0,600.0
98.0,594.0
99.0,587.0
100.0,594.0
101.0,587.0
102.0,583.0
103.0,587.0
104.0,587.0
105.0,593.0
106.0,592.0
107.0,592.0
108.0,588.0
109.0,588.0
110.0,593.0
111.0,594.0
112.0,598.0
113.0,595.0
114.0,589.0
115.0,583.0
116.0,590.0
117.0,583.0
118.0,588.0
119.0,587.0
120.0,588.0
121.0,595.0
122.0,588.0
123.0,599.0
124.0,590.0
125.0,585.0
126.0,588.0
127.0,592.0
128.0,594.0
129.0,591.0
130.0,588.0
131.0,586.0
132.0,601.0
133.0,589.0
134.0,597.0
