14-Nov-2014 23:10:46
RngSeed: 1416006646485
DelayedPheromone: false
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 50
NumCities: 10
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 120

"tick", "Best Path Length", "Avg. Path Length"
1.0, 849.9817323336109, 1083.0
2.0, 828.2981994343859, 1000.0
3.0, 828.2981994343859, 975.0
4.0, 767.2406483182641, 975.0
5.0, 767.2406483182641, 949.0
6.0, 767.2406483182641, 960.0
7.0, 767.2406483182641, 947.0
8.0, 767.2406483182641, 948.0
9.0, 767.2406483182641, 945.0
10.0, 767.2406483182641, 960.0
11.0, 767.2406483182641, 953.0
12.0, 767.2406483182641, 954.0
13.0, 767.2406483182641, 954.0
14.0, 767.2406483182641, 949.0
15.0, 767.2406483182641, 949.0
16.0, 767.2406483182641, 960.0
17.0, 767.2406483182641, 956.0
18.0, 767.2406483182641, 957.0
19.0, 767.2406483182641, 932.0
20.0, 767.2406483182641, 946.0
21.0, 767.2406483182641, 951.0
22.0, 767.2406483182641, 969.0
23.0, 767.2406483182641, 968.0
24.0, 767.2406483182641, 940.0
25.0, 767.2406483182641, 979.0
26.0, 767.2406483182641, 963.0
27.0, 767.2406483182641, 962.0
28.0, 767.2406483182641, 961.0
29.0, 767.2406483182641, 970.0
30.0, 767.2406483182641, 959.0
31.0, 767.2406483182641, 963.0
32.0, 767.2406483182641, 993.0
33.0, 767.2406483182641, 957.0
34.0, 767.2406483182641, 958.0
35.0, 767.2406483182641, 960.0
36.0, 767.2406483182641, 970.0
37.0, 767.2406483182641, 951.0
38.0, 767.2406483182641, 954.0
39.0, 767.2406483182641, 947.0
40.0, 767.2406483182641, 953.0
41.0, 767.2406483182641, 945.0
42.0, 767.2406483182641, 954.0
43.0, 767.2406483182641, 943.0
44.0, 767.2406483182641, 957.0
45.0, 767.2406483182641, 941.0
46.0, 767.2406483182641, 951.0
47.0, 767.2406483182641, 962.0
48.0, 767.2406483182641, 949.0
49.0, 767.2406483182641, 944.0
50.0, 767.2406483182641, 950.0
51.0, 767.2406483182641, 967.0
52.0, 767.2406483182641, 955.0
53.0, 767.2406483182641, 961.0
54.0, 767.2406483182641, 948.0
55.0, 767.2406483182641, 951.0
56.0, 767.2406483182641, 946.0
57.0, 767.2406483182641, 951.0
58.0, 767.2406483182641, 960.0
59.0, 767.2406483182641, 956.0
60.0, 767.2406483182641, 945.0
61.0, 767.2406483182641, 949.0
62.0, 767.2406483182641, 954.0
63.0, 767.2406483182641, 948.0
64.0, 767.2406483182641, 955.0
65.0, 767.2406483182641, 951.0
66.0, 767.2406483182641, 945.0
